# alpha                     Rey                       CL                        CD                        Cm                       
        -2.6179938780E-01          2.0000000000E+04         -4.2480000000E-01          1.8945000000E-01         -9.1000000000E-03
        -2.6179938780E-01          1.2421052632E+05         -2.4890000000E-01          1.4422000000E-01         -3.7900000000E-02
        -2.6179938780E-01          2.2842105263E+05         -4.1840000000E-01          1.6836000000E-01         -2.2500000000E-02
        -2.6179938780E-01          3.3263157895E+05         -2.5340000000E-01          1.3886000000E-01         -3.9100000000E-02
        -2.6179938780E-01          4.3684210526E+05         -2.6570000000E-01          1.3744000000E-01         -4.0700000000E-02
        -2.6179938780E-01          5.4105263158E+05         -4.2200000000E-01          1.6481000000E-01         -2.2500000000E-02
        -2.6179938780E-01          9.5789473684E+05         -8.3000000000E-01          7.2980000000E-02         -6.5000000000E-02
        -2.6179938780E-01          1.0621052632E+06         -8.9720000000E-01          6.3030000000E-02         -7.1800000000E-02
        -2.6179938780E-01          1.2705263158E+06         -1.0580000000E+00          3.3820000000E-02         -9.9100000000E-02
        -2.6179938780E-01          1.3747368421E+06         -1.1171000000E+00          3.0780000000E-02         -9.5500000000E-02
        -2.6179938780E-01          1.4789473684E+06         -1.1514000000E+00          2.8770000000E-02         -9.2900000000E-02
        -2.6179938780E-01          1.5831578947E+06         -1.0039000000E+00          1.1670000000E-02         -1.0020000000E-01
        -2.6179938780E-01          1.6873684211E+06         -1.1747000000E+00          2.5610000000E-02         -9.3500000000E-02
        -2.6179938780E-01          1.7915789474E+06         -1.1750000000E+00          2.4540000000E-02         -9.4800000000E-02
        -2.6179938780E-01          1.8957894737E+06         -1.1735000000E+00          2.3920000000E-02         -9.5900000000E-02
        -2.6179938780E-01          2.0000000000E+06         -1.1691000000E+00          2.3940000000E-02         -9.6600000000E-02
        -2.4434609528E-01          2.0000000000E+04         -3.9580000000E-01          1.7711000000E-01         -1.1300000000E-02
        -2.4434609528E-01          1.2421052632E+05         -2.5590000000E-01          1.3997000000E-01         -4.0800000000E-02
        -2.4434609528E-01          2.2842105263E+05         -4.0770000000E-01          1.5479000000E-01         -3.0800000000E-02
        -2.4434609528E-01          3.3263157895E+05         -2.5280000000E-01          1.3202000000E-01         -4.0900000000E-02
        -2.4434609528E-01          4.3684210526E+05         -2.4550000000E-01          1.3110000000E-01         -3.9300000000E-02
        -2.4434609528E-01          5.4105263158E+05         -4.0620000000E-01          1.4888000000E-01         -2.9500000000E-02
        -2.4434609528E-01          7.4947368421E+05         -5.9690000000E-01          1.0005000000E-01         -4.7600000000E-02
        -2.4434609528E-01          8.5368421053E+05         -9.4890000000E-01          3.6320000000E-02         -9.6000000000E-02
        -2.4434609528E-01          9.5789473684E+05         -1.0155000000E+00          3.3080000000E-02         -9.1600000000E-02
        -2.4434609528E-01          1.0621052632E+06         -1.0662000000E+00          2.9930000000E-02         -8.7900000000E-02
        -2.4434609528E-01          1.1663157895E+06         -1.0752000000E+00          2.7180000000E-02         -9.0100000000E-02
        -2.4434609528E-01          1.2705263158E+06         -1.0723000000E+00          2.5850000000E-02         -9.2300000000E-02
        -2.4434609528E-01          1.3747368421E+06         -1.0688000000E+00          2.4960000000E-02         -9.4100000000E-02
        -2.4434609528E-01          1.4789473684E+06         -1.0878333333E+00          2.5530000000E-02         -9.5566666667E-02
        -2.4434609528E-01          1.5831578947E+06         -9.8863333333E-01          1.3890000000E-02         -1.0080000000E-01
        -2.4434609528E-01          1.6873684211E+06         -1.0693000000E+00          2.1270000000E-02         -9.8500000000E-02
        -2.4434609528E-01          1.7915789474E+06         -1.0687000000E+00          2.0420000000E-02         -9.9500000000E-02
        -2.4434609528E-01          1.8957894737E+06         -1.0679000000E+00          1.9700000000E-02         -1.0040000000E-01
        -2.4434609528E-01          2.0000000000E+06         -1.0670000000E+00          1.9060000000E-02         -1.0130000000E-01
        -2.2689280276E-01          2.0000000000E+04         -3.6880000000E-01          1.6528000000E-01         -1.2200000000E-02
        -2.2689280276E-01          1.2421052632E+05         -2.3500000000E-01          1.2972000000E-01         -3.9400000000E-02
        -2.2689280276E-01          2.2842105263E+05         -3.7200000000E-01          1.4241000000E-01         -3.2500000000E-02
        -2.2689280276E-01          3.3263157895E+05         -3.9950000000E-01          1.3688000000E-01         -3.8300000000E-02
        -2.2689280276E-01          4.3684210526E+05         -3.7770000000E-01          1.3828000000E-01         -3.3300000000E-02
        -2.2689280276E-01          5.4105263158E+05         -4.0230000000E-01          1.3186000000E-01         -3.8300000000E-02
        -2.2689280276E-01          6.4526315789E+05         -8.9760000000E-01          3.7800000000E-02         -8.8600000000E-02
        -2.2689280276E-01          7.4947368421E+05         -5.5120000000E-01          9.4340000000E-02         -5.0100000000E-02
        -2.2689280276E-01          8.5368421053E+05         -9.7710000000E-01          2.8200000000E-02         -8.8100000000E-02
        -2.2689280276E-01          9.5789473684E+05         -4.1020000000E-01          1.2687000000E-01         -3.6500000000E-02
        -2.2689280276E-01          1.0621052632E+06         -9.6840000000E-01          2.4290000000E-02         -9.4100000000E-02
        -2.2689280276E-01          1.1663157895E+06         -9.6630000000E-01          2.2550000000E-02         -9.6400000000E-02
        -2.2689280276E-01          1.2705263158E+06         -9.6480000000E-01          2.1160000000E-02         -9.8100000000E-02
        -2.2689280276E-01          1.3747368421E+06         -9.6290000000E-01          2.0000000000E-02         -9.9600000000E-02
        -2.2689280276E-01          1.4789473684E+06         -9.6070000000E-01          1.9050000000E-02         -1.0090000000E-01
        -2.2689280276E-01          1.5831578947E+06         -9.5810000000E-01          1.8330000000E-02         -1.0200000000E-01
        -2.2689280276E-01          1.6873684211E+06         -9.5480000000E-01          1.7900000000E-02         -1.0300000000E-01
        -2.2689280276E-01          1.7915789474E+06         -9.5100000000E-01          1.7720000000E-02         -1.0390000000E-01
        -2.2689280276E-01          1.8957894737E+06         -9.9046666667E-01          1.7930000000E-02         -1.0283333333E-01
        -2.2689280276E-01          2.0000000000E+06         -9.4890000000E-01          1.6540000000E-02         -1.0530000000E-01
        -2.0943951024E-01          2.0000000000E+04         -3.4470000000E-01          1.5383000000E-01         -1.1500000000E-02
        -2.0943951024E-01          1.2421052632E+05         -3.5410000000E-01          1.3443000000E-01         -3.5800000000E-02
        -2.0943951024E-01          2.2842105263E+05         -3.5740000000E-01          1.2886000000E-01         -3.7100000000E-02
