PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.482226, 20000.000000, 500.000000, 696.000000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-12.323200, 972.493806, 0.001266 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
FuselageGeom,203.990458, 60.031762, 10.757801,1.048134, Hoerner Streamlined Body,114359653.419314, 0.000000,0.002089, 1.000000,0.446615, 0.000642, 0.528382 
Landing Gear,79.822966, 12.000000, 17.366430,1.022063, Hoerner Streamlined Body,22859829.289836, 0.000000,0.002640, 1.000000,0.215384, 0.000309, 0.254817 
WingGeom,677.783556, 12.000000, 0.119913,1.252232, Hoerner,22859829.289836, 0.000000,0.002640, 1.000000,2.240699, 0.003219, 2.650929 
PropGeom,14.844994, 1.538093, 0.500000,5.750000, Hoerner,2930046.193696, 0.000000,0.003685, 1.000000,0.314534, 0.000452, 0.372119 
H Tail,116.095885, 6.770833, 0.099918,1.205817, Hoerner,12898341.179161, 0.000000,0.002885, 1.000000,0.403833, 0.000580, 0.477767 
V Tail,67.435207, 8.000000, 0.099918,1.205817, Hoerner,15239886.193224, 0.000000,0.002810, 1.000000,0.228514, 0.000328, 0.270351 
Wheels,9.988836, 0.500000, 0.158279,1790.155953, Hoerner Streamlined Body,952492.887077, 0.000000,0.004512, 1.000000,80.675450, 0.115913, 95.445634 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 84.525029, 0.121444, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 84.525029, 0.121444, 100.000000 
